name,club,injuries
João Cancelo,Manchester City,"[('20/21', 'Corona virus', 'Jun 12, 2021', 'Jul 15, 2021', '33', 0), ('20/21', 'Foot Injury', 'Sep 21, 2020', 'Oct 7, 2020', '16', '5'), ('18/19', 'Nose surgery', 'May 20, 2019', 'Jun 1, 2019', '12', '1'), ('18/19', 'Meniscal Injury', 'Dec 12, 2018', 'Jan 14, 2019', '33', '6'), ('17/18', 'Medial Collateral Ligament Injury', 'Aug 29, 2017', 'Oct 12, 2017', '44', '5'), ('16/17', 'Foot Injury', 'May 8, 2017', 'May 18, 2017', '10', '1'), ('15/16', 'Hamstring Injury', 'Mar 13, 2016', 'Apr 15, 2016', '33', '5')]"
Kyle Walker,Manchester City,"[('22/23', 'Fitness', 'Nov 18, 2022', 'Nov 22, 2022', '4', 0), ('22/23', 'Groin Injury', 'Oct 3, 2022', 'Nov 17, 2022', '45', '12'), ('20/21', 'Knock', 'Jan 21, 2021', 'Jan 25, 2021', '4', '1'), ('20/21', 'Corona virus', 'Dec 21, 2020', 'Jan 4, 2021', '14', '3'), ('19/20', 'Knock', 'Oct 7, 2019', 'Oct 28, 2019', '21', '3'), ('18/19', 'Groin Injury', 'Oct 15, 2018', 'Oct 25, 2018', '10', '2'), ('18/19', 'Knock', 'Jul 2, 2018', 'Jul 9, 2018', '7', 0), ('16/17', 'Ankle Injury', 'May 15, 2017', 'Jun 1, 2017', '17', '2'), ('14/15', 'Ankle Injury', 'Apr 2, 2015', 'May 25, 2015', '53', '8'), ('14/15', 'Groin Surgery', 'Sep 1, 2014', 'Dec 11, 2014', '101', '20'), ('13/14', 'Groin Injury', 'Mar 17, 2014', 'Jul 3, 2014', '108', '9'), ('13/14', 'Hip problems', 'Feb 17, 2014', 'Mar 3, 2014', '14', '4'), ('11/12', 'Ankle Injury', 'Feb 23, 2012', 'Mar 5, 2012', '11', '2')]"
Rodri,Manchester City,"[('20/21', 'Knock', 'Feb 11, 2021', 'Feb 12, 2021', '1', 0), ('19/20', 'Muscle Injury', 'Oct 22, 2019', 'Nov 9, 2019', '18', '5')]"
Kalvin Phillips,Manchester City,"[('22/23', 'Shoulder Injury', 'Sep 15, 2022', 'Nov 8, 2022', '54', '12'), ('21/22', 'Hamstring Injury', 'Dec 2, 2021', 'Mar 14, 2022', '102', '16'), ('20/21', 'Calf Injury', 'Feb 8, 2021', 'Mar 8, 2021', '28', '6'), ('20/21', 'Shoulder Injury', 'Oct 22, 2020', 'Nov 23, 2020', '32', '4')]"
Phil Foden,Manchester City,"[('21/22', 'Foot Injury', 'Aug 1, 2021', 'Sep 9, 2021', '39', '4'), ('19/20', 'Ill', 'Sep 15, 2019', 'Sep 25, 2019', '10', '3'), ('17/18', 'Foot Injury', 'Dec 21, 2017', 'Feb 9, 2018', '50', '12')]"
Ilkay Gündogan,Manchester City,"[('21/22', 'Hamstring Injury', 'Sep 19, 2021', 'Oct 12, 2021', '23', '4'), ('20/21', 'groin strain', 'Feb 16, 2021', 'Feb 19, 2021', '3', '1'), ('20/21', 'Ankle Injury', 'Dec 27, 2020', 'Jan 2, 2021', '6', 0), ('20/21', 'Corona virus', 'Sep 21, 2020', 'Oct 16, 2020', '25', '5'), ('19/20', 'Influenza', 'Sep 7, 2019', 'Sep 12, 2019', '5', 0), ('19/20', 'Knock', 'Apr 26, 2019', 'Apr 27, 2019', '1', 0), ('19/20', 'Knock', 'Dec 27, 2018', 'Jan 2, 2019', '6', '1'), ('18/19', 'Foot Injury', 'Nov 25, 2018', 'Nov 30, 2018', '5', '1'), ('18/19', 'Hamstring Injury', 'Oct 3, 2018', 'Nov 6, 2018', '34', '6'), ('16/17', 'Cruciate Ligament Rupture', 'Dec 15, 2016', 'Aug 13, 2017', '241', '31'), ('15/16', 'Dislocation of the patella', 'May 2, 2016', 'Sep 12, 2016', '133', '10'), ('15/16', 'Bruised Foot', 'Mar 10, 2016', 'Apr 7, 2016', '28', '6'), ('15/16', 'Influenza', 'Feb 15, 2016', 'Feb 22, 2016', '7', '2'), ('15/16', 'Infection', 'Jan 25, 2016', 'Feb 1, 2016', '7', '1'), ('15/16', 'Pelvis Injury', 'Dec 7, 2015', 'Dec 10, 2015', '3', '1')]"
Kevin De Bruyne,Manchester City,"[('21/22', 'Corona virus', 'Nov 19, 2021', 'Dec 3, 2021', '14', '4'), ('21/22', 'Ankle Injury', 'Aug 1, 2021', 'Sep 10, 2021', '40', '4'), ('20/21', 'Facial Fracture', 'May 29, 2021', 'Jun 14, 2021', '16', '1'), ('20/21', 'Fracture of the orbit', 'May 29, 2021', 'Jun 7, 2021', '9', '1'), ('20/21', 'Muscular problems', 'May 5, 2021', 'May 15, 2021', '10', '2'), ('20/21', 'Hamstring Injury', 'Jan 21, 2021', 'Feb 16, 2021', '26', '7'), ('20/21', 'Muscle Injury', 'Oct 12, 2020', 'Oct 22, 2020', '10', '2'), ('19/20', 'Back Injury', 'Mar 2, 2020', 'Mar 10, 2020', '8', '2'), ('19/20', 'Ankle problems', 'Sep 29, 2019', 'Oct 15, 2019', '16', '2'), ('18/19', 'Hamstring Injury', 'Apr 21, 2019', 'May 11, 2019', '20', '3'), ('18/19', 'Thigh Problems', 'Mar 2, 2019', 'Mar 29, 2019', '27', '4'), ('18/19', 'Muscular problems', 'Dec 27, 2018', 'Jan 2, 2019', '6', '1'), ('18/19', 'Ligament Injury', 'Nov 1, 2018', 'Dec 14, 2018', '43', '10'), ('18/19', 'Torn knee ligament', 'Aug 15, 2018', 'Oct 19, 2018', '65', '10'), ('16/17', 'Groin Injury', 'Mar 24, 2017', 'Mar 31, 2017', '7', 0)]"
Bernardo Silva,Manchester City,"[('21/22', 'Muscular problems', 'Nov 9, 2021', 'Nov 12, 2021', '3', 0), ('20/21', 'Muscle Injury', 'Sep 8, 2020', 'Sep 30, 2020', '22', '4'), ('18/19', 'Knock', 'Apr 7, 2019', 'Apr 14, 2019', '7', '2'), ('18/19', 'Knock', 'Nov 19, 2018', 'Nov 30, 2018', '11', '2'), ('16/17', 'Ankle Injury', 'Jun 25, 2017', 'Jun 27, 2017', '2', 0), ('15/16', 'Hamstring Injury', 'May 9, 2016', 'Jul 10, 2016', '62', '1'), ('15/16', 'Hamstring Injury', 'Feb 8, 2016', 'Feb 29, 2016', '21', '4')]"
Cole Palmer,Manchester City,"[('21/22', 'Foot Injury', 'Jan 8, 2022', 'Apr 11, 2022', '93', '16'), ('20/21', 'Virus Infection', 'Jan 6, 2021', 'Jan 25, 2021', '19', '2')]"
Jack Grealish,Manchester City,"[('20/21', 'Shinbone injury', 'Feb 20, 2021', 'May 10, 2021', '79', '12'), ('20/21', 'Calf Injury', 'Oct 2, 2020', 'Oct 3, 2020', '1', 0), ('19/20', 'Calf Injury', 'Oct 27, 2019', 'Nov 24, 2019', '28', '3'), ('18/19', 'Fever', 'Apr 12, 2019', 'Apr 16, 2019', '4', '1'), ('18/19', 'Shinbone injury', 'Dec 7, 2018', 'Feb 28, 2019', '83', '15'), ('17/18', 'Kidney problems', 'Aug 1, 2017', 'Oct 15, 2017', '75', '15'), ('15/16', 'Ankle Injury', 'Feb 7, 2016', 'Apr 1, 2016', '54', '6'), ('15/16', 'Tonsillitis', 'Jan 7, 2016', 'Jan 22, 2016', '15', '4'), ('15/16', 'Achilles tendon problems', 'Jul 15, 2015', 'Aug 16, 2015', '32', '2')]"
