name,club,injuries
Nuno Da Costa,AJ Auxerre,"[('21/22', 'Groin Injury', 'Aug 11, 2021', 'Aug 30, 2021', '19', '6')]"
Gaëtan Charbonnier,AJ Auxerre,[]
Idjessi Metsoko,AJ Auxerre,[]
Benjamin Leroy,AC Ajaccio,"[('22/23', 'Neck Injury', 'Sep 18, 2022', 'Oct 3, 2022', '15', '2')]"
François-Joseph Sollacaro,AC Ajaccio,"[('22/23', 'Unknown Injury', 'Sep 17, 2022', 'Sep 19, 2022', '2', '1')]"
Ghjuvanni Quilichini,AC Ajaccio,[]
Oumar Gonzalez,AC Ajaccio,"[('22/23', 'Unknown Injury', 'Oct 29, 2022', 'Nov 6, 2022', '8', '2')]"
Clément Vidal,AC Ajaccio,[]
Fernand Mayembo,AC Ajaccio,"[('22/23', 'Unknown Injury', 'Nov 12, 2022', '-', '14', '1'), ('22/23', 'Unknown Injury', 'Sep 3, 2022', 'Oct 22, 2022', '49', '7'), ('21/22', 'Dead Leg', 'Mar 11, 2022', 'May 3, 2022', '53', '9'), ('21/22', 'Dead Leg', 'Dec 4, 2021', 'Dec 31, 2021', '27', '2'), ('21/22', 'Dead Leg', 'Jul 15, 2021', 'Sep 30, 2021', '77', '10')]"
Cédric Avinel,AC Ajaccio,[]
Youssouf Koné,AC Ajaccio,"[('21/22', 'Adductor problems', 'May 2, 2022', 'May 20, 2022', '18', '2'), ('20/21', 'Unknown Injury', 'Apr 26, 2021', 'May 4, 2021', '8', '2'), ('20/21', 'Unknown Injury', 'Apr 14, 2021', 'Apr 18, 2021', '4', '1'), ('19/20', 'Ankle Surgery', 'Dec 4, 2019', 'Mar 5, 2020', '92', '21'), ('17/18', 'Ruptured lateral collateral ligament', 'Jan 3, 2018', 'Aug 30, 2018', '239', '46')]"
Ismaël Diallo,AC Ajaccio,"[('22/23', 'Unknown Injury', 'Aug 30, 2022', 'Sep 1, 2022', '2', '1')]"
Chaker Alhadhur,AC Ajaccio,"[('20/21', 'Cruciate Ligament Rupture', 'Nov 10, 2020', 'May 31, 2021', '202', '29')]"
Mickaël Alphonse,AC Ajaccio,[]
Mohamed Youssouf,AC Ajaccio,"[('15/16', 'Flu', 'Mar 29, 2016', 'Apr 5, 2016', '7', '1'), ('15/16', 'Fractured Toe', 'Dec 10, 2015', 'Feb 1, 2016', '53', '10')]"
Vincent Marchetti,AC Ajaccio,[]
Qazim Laçi,AC Ajaccio,"[('22/23', 'Unknown Injury', 'Oct 1, 2022', 'Oct 22, 2022', '21', '4'), ('21/22', 'Unknown Injury', 'Oct 1, 2021', 'Oct 20, 2021', '19', '2')]"
Thomas Mangani,AC Ajaccio,[]
Mathieu Coutadeur,AC Ajaccio,"[('14/15', 'Groin Injury', 'Jan 1, 2015', 'May 7, 2015', '126', '17'), ('14/15', 'groin strain', 'Oct 24, 2014', 'Nov 21, 2014', '28', '4'), ('13/14', 'Achilles Irritation', 'Dec 2, 2013', 'Mar 14, 2014', '102', '14'), ('13/14', 'Muscle Injury', 'Oct 30, 2013', 'Nov 15, 2013', '16', '2'), ('13/14', 'Groin Injury', 'Aug 20, 2013', 'Sep 24, 2013', '35', '4'), ('12/13', 'Muscle Injury', 'May 10, 2013', 'May 28, 2013', '18', '3'), ('12/13', 'Ankle Fracture', 'Sep 15, 2012', 'Apr 6, 2013', '203', '30'), ('09/10', 'Ankle Injury', 'Dec 6, 2009', 'Feb 7, 2010', '63', '11')]"
Alassane N'Diaye,AC Ajaccio,[]
Yanis Cimignani,AC Ajaccio,"[('22/23', 'Unknown Injury', 'Sep 10, 2022', 'Sep 12, 2022', '2', '1')]"
Mickaël Barreto,AC Ajaccio,"[('17/18', 'Ruptured ankle ligament', 'Jul 4, 2017', 'Nov 4, 2017', '123', '15')]"
Florian Chabrolle,AC Ajaccio,[]
Youcef Belaïli,AC Ajaccio,"[('21/22', 'Food Poisoning', 'Mar 3, 2022', 'Mar 6, 2022', '3', '1'), ('21/22', 'Corona virus', 'Dec 27, 2021', 'Jan 2, 2022', '6', '1'), ('19/20', 'Muscle Injury', 'Dec 6, 2019', 'Jan 2, 2020', '27', '4'), ('15/16', 'Ankle Injury', 'Aug 10, 2015', 'Aug 19, 2015', '9', '1'), ('14/15', 'Knee Problems', 'Apr 30, 2015', 'May 20, 2015', '20', '3'), ('14/15', 'Influenza', 'Dec 17, 2014', 'Dec 21, 2014', '4', '1'), ('11/12', 'Twisted knee', 'Oct 22, 2011', 'Nov 10, 2011', '19', '3'), ('10/11', 'Knee Surgery', 'Apr 14, 2011', 'May 20, 2011', '36', '5')]"
Kevin Spadanuda,AC Ajaccio,"[('22/23', 'Unknown Injury', 'Sep 17, 2022', 'Sep 19, 2022', '2', '1'), ('21/22', 'Muscular problems', 'Mar 30, 2022', 'Apr 7, 2022', '8', '1'), ('20/21', 'Unknown Injury', 'Apr 8, 2021', 'Apr 15, 2021', '7', '1'), ('20/21', 'Unknown Injury', 'Feb 22, 2021', 'Mar 1, 2021', '7', '2'), ('19/20', 'Ill', 'Jul 2, 2020', 'Jul 7, 2020', '5', '1'), ('19/20', 'Unknown Injury', 'Jun 17, 2020', 'Jun 22, 2020', '5', '1'), ('19/20', 'Unknown Injury', 'Feb 19, 2020', 'Mar 4, 2020', '14', '1'), ('19/20', 'Unknown Injury', 'Jan 22, 2020', 'Feb 12, 2020', '21', '3'), ('19/20', 'Unknown Injury', 'Sep 18, 2019', 'Sep 23, 2019', '5', '1'), ('19/20', 'Torn muscle bundle', 'Jul 2, 2019', 'Aug 21, 2019', '50', '5'), ('18/19', 'Unknown Injury', 'May 22, 2019', 'May 27, 2019', '5', '1'), ('16/17', 'Unknown Injury', 'May 3, 2016', 'Jun 30, 2017', '423', '26')]"
Jean Botué,AC Ajaccio,[]
Cyrille Bayala,AC Ajaccio,[]
Riad Nouri,AC Ajaccio,[]
Mounaïm El Idrissy,AC Ajaccio,[]
Bevic Moussiti-Oko,AC Ajaccio,"[('21/22', 'Fracture', 'Sep 26, 2021', 'Apr 5, 2022', '191', '22'), ('21/22', 'Ankle Injury', 'Aug 1, 2021', 'Sep 1, 2021', '31', '3')]"
Romain Hamouma,AC Ajaccio,"[('22/23', 'Knee Injury', 'Oct 1, 2022', 'Oct 20, 2022', '19', '3'), ('21/22', 'Calf Injury', 'Apr 28, 2022', 'May 10, 2022', '12', '1'), ('21/22', 'Wirst Injury', 'Feb 27, 2022', 'Apr 22, 2022', '54', '7'), ('21/22', 'Strain in the thigh and gluteal muscles', 'Nov 24, 2021', 'Jan 21, 2022', '58', '9'), ('20/21', 'Muscle Injury', 'Feb 8, 2021', 'Mar 8, 2021', '28', '5'), ('17/18', 'Minor Knock', 'Nov 6, 2017', 'Jan 1, 2018', '56', '7'), ('15/16', 'Shinbone injury', 'Jan 11, 2016', 'Feb 18, 2016', '38', '9'), ('14/15', 'Calf muscle strain', 'Sep 22, 2014', 'Oct 16, 2014', '24', '4'), ('12/13', 'Thigh Muscle Strain', 'Jan 14, 2013', 'Feb 18, 2013', '35', '7'), ('11/12', 'Knee Problems', 'Mar 29, 2012', 'Apr 30, 2012', '32', '5')]"
Yoann Touzghar,AC Ajaccio,"[('22/23', 'Injury to the ankle', 'Nov 12, 2022', '-', '14', '1'), ('22/23', 'Injury to the ankle', 'Oct 7, 2022', 'Oct 31, 2022', '24', '4'), ('21/22', 'Corona virus', 'Jan 14, 2022', 'Jan 25, 2022', '11', '3'), ('15/16', 'Ruptured knee ligament', 'Dec 17, 2015', 'Mar 17, 2016', '91', '14')]"
Manuel Neuer,Bayern Munich,"[('22/23', 'Bruised Acromioclavicular', 'Oct 10, 2022', 'Nov 3, 2022', '24', '7'), ('22/23', 'Corona virus', 'Sep 19, 2022', 'Sep 26, 2022', '7', 0), ('21/22', 'Knee Surgery', 'Feb 3, 2022', 'Mar 7, 2022', '32', '6'), ('21/22', 'Corona virus', 'Dec 30, 2021', 'Jan 13, 2022', '14', '1'), ('21/22', 'Tear in a joint capsule', 'Aug 30, 2021', 'Sep 2, 2021', '3', 0), ('21/22', 'Tear in a joint capsule', 'Aug 23, 2021', 'Aug 26, 2021', '3', '1'), ('18/19', 'Torn Muscle Fibre', 'Apr 15, 2019', 'May 20, 2019', '35', '6'), ('18/19', 'Calf Problems', 'Mar 28, 2019', 'Apr 8, 2019', '11', '3'), ('18/19', 'Finger Injury', 'Jan 31, 2019', 'Feb 14, 2019', '14', '3'), ('17/18', 'Fitness', 'Apr 12, 2018', 'May 14, 2018', '32', '8'), ('17/18', 'Metatarsal Fracture', 'Sep 18, 2017', 'Apr 12, 2018', '206', '37'), ('17/18', 'Metatarsal Fracture', 'Apr 20, 2017', 'Aug 21, 2017', '123', '9'), ('16/17', 'Foot Injury', 'Mar 30, 2017', 'Apr 10, 2017', '11', '3'), ('16/17', 'Calf Problems', 'Mar 20, 2017', 'Mar 27, 2017', '7', 0), ('16/17', 'Cals Sclerosis', 'Nov 21, 2016', 'Nov 24, 2016', '3', '1')]"
Sven Ulreich,Bayern Munich,"[('21/22', 'Back trouble', 'Nov 26, 2021', 'Dec 1, 2021', '5', '1'), ('21/22', 'Ruptured intraarticular ligament initiation in knee', 'Sep 20, 2021', 'Oct 31, 2021', '41', '8'), ('17/18', 'Adductor problems', 'Dec 7, 2017', 'Dec 13, 2017', '6', '2'), ('17/18', 'Elbow Injury', 'May 4, 2017', 'Jul 6, 2017', '63', '3'), ('15/16', 'Overstretching of the syndesmotic ligament', 'Jan 14, 2016', 'Feb 18, 2016', '35', '5'), ('14/15', 'Minor Knock', 'Oct 23, 2014', 'Oct 30, 2014', '7', '1'), ('13/14', 'Wirst Injury', 'Sep 23, 2013', 'Oct 24, 2013', '31', '4'), ('09/10', 'Fibula Fracture', 'Mar 1, 2010', 'Apr 26, 2010', '56', '9')]"
Johannes Schenk,Bayern Munich,"[('21/22', 'Hand Injury', 'Jul 15, 2021', 'Nov 21, 2021', '129', '10')]"
Matthijs de Ligt,Bayern Munich,"[('22/23', 'Twisted knee', 'Oct 31, 2022', 'Nov 10, 2022', '10', '3'), ('22/23', 'Adductor problems', 'Oct 10, 2022', 'Oct 13, 2022', '3', '1'), ('21/22', 'Adductor problems', 'Oct 14, 2021', 'Oct 21, 2021', '7', '2'), ('20/21', 'groin strain', 'Jun 3, 2021', 'Jun 17, 2021', '14', 0), ('20/21', 'Muscle Fatigue', 'Mar 1, 2021', 'Mar 11, 2021', '10', '3'), ('20/21', 'Corona virus', 'Jan 7, 2021', 'Jan 25, 2021', '18', '5'), ('20/21', 'Shoulder Injury', 'Aug 10, 2020', 'Nov 19, 2020', '101', '9'), ('19/20', 'Rest ', 'Jul 27, 2020', 'Aug 3, 2020', '7', '2'), ('19/20', 'Shoulder Injury', 'Dec 5, 2019', 'Dec 16, 2019', '11', '3'), ('19/20', 'Distortion of the ankle', 'Nov 4, 2019', 'Nov 11, 2019', '7', '2'), ('18/19', 'Knee Problems', 'Sep 17, 2018', 'Sep 27, 2018', '10', '3'), ('16/17', 'Thigh Problems', 'Feb 2, 2017', 'Feb 13, 2017', '11', '2')]"
Dayot Upamecano,Bayern Munich,"[('21/22', 'Corona virus', 'Jan 4, 2022', 'Jan 11, 2022', '7', '1'), ('21/22', 'Hamstring Injury', 'Aug 29, 2021', 'Sep 9, 2021', '11', 0), ('20/21', 'Muscle Injury', 'Mar 15, 2021', 'Mar 28, 2021', '13', '1'), ('20/21', 'Torn Muscle Fibre', 'Nov 5, 2020', 'Nov 18, 2020', '13', '1'), ('19/20', 'Fitness', 'Aug 27, 2019', 'Sep 15, 2019', '19', '2'), ('19/20', 'Knee Injury', 'Aug 1, 2019', 'Aug 26, 2019', '25', '3'), ('18/19', 'Knee Injury', 'Jan 23, 2019', 'May 13, 2019', '110', '18'), ('18/19', 'Muscular problems', 'Nov 12, 2018', 'Nov 27, 2018', '15', '1'), ('18/19', 'Bruised Knee', 'Jul 24, 2018', 'Aug 16, 2018', '23', '4'), ('17/18', 'Strain in the thigh and gluteal muscles', 'Apr 13, 2018', 'Apr 20, 2018', '7', '1'), ('17/18', 'Torn Muscle Fibre', 'Dec 4, 2017', 'Dec 10, 2017', '6', '2'), ('17/18', 'Ill', 'Nov 16, 2017', 'Nov 16, 2017', '0', 0), ('17/18', 'Knee Problems', 'Nov 9, 2017', 'Nov 13, 2017', '4', 0), ('17/18', 'Rest ', 'Oct 19, 2017', 'Oct 23, 2017', '4', '1'), ('17/18', 'Rest ', 'Sep 18, 2017', 'Sep 21, 2017', '3', '1')]"
Lucas Hernández,Bayern Munich,"[('22/23', 'Cruciate Ligament Rupture', 'Nov 23, 2022', 'Jun 30, 2023', '219', '22'), ('22/23', 'Torn muscle bundle', 'Sep 14, 2022', 'Oct 31, 2022', '47', '10'), ('21/22', 'Muscular problems', 'Jun 9, 2022', 'Jun 13, 2022', '4', 0), ('21/22', 'Muscular problems', 'Apr 14, 2022', 'Apr 21, 2022', '7', '1'), ('21/22', 'Thigh Problems', 'Apr 7, 2022', 'Apr 11, 2022', '4', '1'), ('21/22', 'Corona virus', 'Jan 3, 2022', 'Jan 17, 2022', '14', '2'), ('21/22', 'Mensical Laceration', 'Jun 28, 2021', 'Aug 30, 2021', '63', '5'), ('20/21', 'Bruised Rib', 'Apr 8, 2021', 'Apr 12, 2021', '4', '1'), ('20/21', 'Thigh Problems', 'Dec 3, 2020', 'Dec 7, 2020', '4', '1'), ('19/20', 'tendon irritation', 'Mar 2, 2020', 'Mar 5, 2020', '3', '1'), ('19/20', 'Fitness', 'Jan 20, 2020', 'Feb 3, 2020', '14', '2'), ('19/20', 'Intraarticular ligament crack in the ankle', 'Oct 24, 2019', 'Jan 20, 2020', '88', '14'), ('19/20', 'Bruised Knee', 'Sep 30, 2019', 'Oct 10, 2019', '10', '2'), ('18/19', 'Medial Collateral Ligament Injury', 'Feb 11, 2019', 'Aug 8, 2019', '178', '1'), ('18/19', 'Knee Injury', 'Dec 10, 2018', 'Jan 14, 2019', '35', '6')]"
Alphonso Davies,Bayern Munich,"[('22/23', 'Torn Muscle Fibre', 'Nov 6, 2022', 'Nov 17, 2022', '11', '2'), ('22/23', 'Head Injury', 'Oct 10, 2022', 'Oct 13, 2022', '3', '1'), ('22/23', 'Muscular problems', 'Aug 18, 2022', 'Aug 22, 2022', '4', '1'), ('21/22', 'Heart Condition', 'Jan 10, 2022', 'Apr 4, 2022', '84', '12'), ('21/22', 'Corona virus', 'Jan 3, 2022', 'Jan 13, 2022', '10', '1'), ('21/22', 'Thigh Problems', 'Oct 18, 2021', 'Oct 25, 2021', '7', '2'), ('21/22', 'Knee Problems', 'Sep 6, 2021', 'Sep 9, 2021', '3', 0), ('21/22', 'Ankle Injury', 'Jul 5, 2021', 'Aug 9, 2021', '35', 0), ('20/21', 'Torn Ankle Ligament', 'Oct 22, 2020', 'Dec 7, 2020', '46', '10'), ('18/19', 'Twisted knee', 'Mar 18, 2019', 'Apr 15, 2019', '28', '4')]"
Benjamin Pavard,Bayern Munich,"[('21/22', 'Corona virus', 'Mar 17, 2022', 'Mar 24, 2022', '7', '1'), ('21/22', 'Ankle Injury', 'Aug 12, 2021', 'Sep 5, 2021', '24', '5'), ('20/21', 'Corona virus', 'Feb 17, 2021', 'Mar 9, 2021', '20', '4'), ('20/21', 'Bruise', 'Nov 6, 2020', 'Nov 13, 2020', '7', '1'), ('20/21', 'Ligament Injury', 'Jul 26, 2020', 'Aug 16, 2020', '21', '2'), ('18/19', 'Torn muscle bundle', 'Dec 10, 2018', 'Jan 28, 2019', '49', '5'), ('17/18', 'Nasal Bone Fracture', 'Dec 17, 2017', 'Dec 31, 2017', '14', '1'), ('17/18', 'Knee Injury', 'Jul 5, 2017', 'Jul 26, 2017', '21', 0), ('16/17', 'Ligament Problems', 'Feb 10, 2017', 'Feb 14, 2017', '4', '1'), ('16/17', 'Abdominal Influenza', 'Oct 23, 2016', 'Oct 27, 2016', '4', '1')]"
Noussair Mazraoui,Bayern Munich,"[('22/23', 'Unknown Injury', 'Nov 23, 2022', '-', '3', 0), ('21/22', 'Knock', 'Apr 22, 2022', 'May 6, 2022', '14', '2'), ('21/22', 'Knock', 'Mar 2, 2022', 'Mar 10, 2022', '8', '2'), ('21/22', 'Thigh Problems', 'Dec 11, 2021', 'Jan 12, 2022', '32', '4'), ('21/22', 'Ill', 'Oct 29, 2021', 'Nov 2, 2021', '4', '1'), ('20/21', 'Eye Injury', 'Feb 17, 2021', 'Apr 18, 2021', '60', '15'), ('20/21', 'Knock', 'Jan 30, 2021', 'Feb 9, 2021', '10', '1'), ('20/21', 'Knock', 'Dec 11, 2020', 'Jan 9, 2021', '29', '4'), ('20/21', 'Knock', 'Dec 4, 2020', 'Dec 8, 2020', '4', '1'), ('19/20', 'Fitness', 'Mar 1, 2020', 'Mar 15, 2020', '14', '3'), ('19/20', 'Knock', 'Feb 17, 2020', 'Feb 29, 2020', '12', '3'), ('19/20', 'Foot Injury', 'Sep 8, 2019', 'Sep 26, 2019', '18', '4'), ('19/20', 'Knee Problems', 'Aug 16, 2019', 'Aug 19, 2019', '3', '1'), ('18/19', 'Ankle Injury', 'Apr 17, 2019', 'Apr 27, 2019', '10', '2'), ('18/19', 'groin strain', 'Oct 12, 2018', 'Oct 19, 2018', '7', 0)]"
Josip Stanisic,Bayern Munich,"[('22/23', 'Tonsillitis', 'Nov 3, 2022', 'Nov 10, 2022', '7', '2'), ('21/22', 'Torn muscle bundle', 'Dec 2, 2021', 'Jan 24, 2022', '53', '8'), ('21/22', 'Corona virus', 'Nov 15, 2021', 'Nov 25, 2021', '10', '2'), ('20/21', 'Concussion', 'Nov 2, 2020', 'Nov 9, 2020', '7', '1'), ('19/20', 'Knee Injury', 'Jan 30, 2020', 'May 28, 2020', '119', '6'), ('19/20', 'Muscle Injury', 'Oct 3, 2019', 'Nov 18, 2019', '46', '5'), ('19/20', 'Muscle Injury', 'Aug 26, 2019', 'Sep 16, 2019', '21', '2'), ('18/19', 'Groin Surgery', 'Jan 28, 2019', 'Mar 7, 2019', '38', '4'), ('17/18', 'Knock', 'Nov 30, 2017', 'Feb 8, 2018', '70', '6'), ('16/17', 'Fracture-dislocation of the ankle', 'Jan 23, 2017', 'Jun 12, 2017', '140', '12')]"
Bouna Sarr,Bayern Munich,"[('22/23', 'Knee Surgery', 'Sep 1, 2022', 'Jan 5, 2023', '126', '18'), ('22/23', 'Fitness', 'Jul 28, 2022', 'Aug 4, 2022', '7', '1'), ('21/22', 'Patella problems', 'Mar 28, 2022', 'May 9, 2022', '42', '8'), ('21/22', 'Patella problems', 'Feb 7, 2022', 'Feb 28, 2022', '21', '4'), ('21/22', 'Tear in the abductor muscle', 'Nov 25, 2021', 'Dec 9, 2021', '14', '3'), ('20/21', 'Tendonitis', 'Sep 24, 2020', 'Oct 15, 2020', '21', '1'), ('20/21', 'Fitness', 'Sep 7, 2020', 'Sep 17, 2020', '10', '2'), ('20/21', 'Corona virus', 'Aug 27, 2020', 'Sep 7, 2020', '11', '1'), ('18/19', 'Knee Injury', 'May 2, 2019', 'Jun 3, 2019', '32', '4'), ('17/18', 'Shoulder Injury', 'Apr 12, 2018', 'Apr 23, 2018', '11', '3'), ('16/17', 'Shoulder Injury', 'Feb 20, 2017', 'Feb 27, 2017', '7', '1'), ('15/16', 'Foot Injury', 'Jan 4, 2016', 'Jan 11, 2016', '7', '1')]"
Joshua Kimmich,Bayern Munich,"[('22/23', 'Corona virus', 'Oct 1, 2022', 'Oct 6, 2022', '5', '1'), ('21/22', 'Fitness', 'Dec 9, 2021', 'Jan 3, 2022', '25', '3'), ('21/22', 'Corona virus', 'Nov 22, 2021', 'Dec 9, 2021', '17', '4'), ('21/22', 'Quarantine', 'Nov 8, 2021', 'Nov 22, 2021', '14', '1'), ('20/21', 'Influenza', 'Mar 18, 2021', 'Mar 22, 2021', '4', '1'), ('20/21', 'Meniscus Damage', 'Nov 5, 2020', 'Dec 21, 2020', '46', '10'), ('17/18', 'Bruise', 'Feb 22, 2018', 'Feb 26, 2018', '4', '1'), ('17/18', 'Back trouble', 'Jan 8, 2018', 'Jan 11, 2018', '3', 0), ('17/18', 'Gastric problems', 'Nov 2, 2017', 'Nov 2, 2017', '0', 0), ('16/17', 'Ill', 'Feb 2, 2017', 'Feb 6, 2017', '4', '1'), ('15/16', 'Influenza', 'Nov 26, 2015', 'Dec 3, 2015', '7', '1'), ('15/16', 'Rupture of Outer Meniscus', 'Aug 6, 2015', 'Aug 6, 2015', '0', 0), ('14/15', 'Knock', 'Nov 3, 2014', 'Nov 20, 2014', '17', '2'), ('14/15', 'Ruptured lateral collateral ligament', 'Oct 20, 2014', 'Oct 30, 2014', '10', '2'), ('13/14', 'Thigh Problems', 'Jan 23, 2014', 'Jan 27, 2014', '4', '1')]"
Leon Goretzka,Bayern Munich,"[('22/23', 'Corona virus', 'Sep 19, 2022', 'Sep 26, 2022', '7', 0), ('22/23', 'Knee Surgery', 'Jul 18, 2022', 'Aug 25, 2022', '38', '4'), ('21/22', 'Fitness', 'Mar 21, 2022', 'Mar 28, 2022', '7', 0), ('21/22', 'Hip problems', 'Nov 29, 2021', 'Mar 14, 2022', '105', '16'), ('21/22', 'Cold', 'Oct 18, 2021', 'Oct 25, 2021', '7', '2'), ('21/22', 'Rest ', 'Aug 23, 2021', 'Aug 26, 2021', '3', '1'), ('20/21', 'Torn Muscle Fibre', 'May 6, 2021', 'Jun 17, 2021', '42', '3'), ('20/21', 'Strain', 'Apr 8, 2021', 'Apr 15, 2021', '7', '2'), ('20/21', 'Calf Problems', 'Feb 11, 2021', 'Feb 18, 2021', '7', '2'), ('20/21', 'Corona virus', 'Jan 28, 2021', 'Feb 15, 2021', '18', '5'), ('20/21', 'Muscular problems', 'Dec 14, 2020', 'Dec 28, 2020', '14', '2'), ('20/21', 'Calf Problems', 'Oct 29, 2020', 'Nov 9, 2020', '11', '3'), ('20/21', 'Back trouble', 'Sep 28, 2020', 'Oct 1, 2020', '3', '1'), ('19/20', 'Muscular problems', 'Feb 20, 2020', 'Feb 27, 2020', '7', '2'), ('19/20', 'Muscular problems', 'Dec 16, 2019', 'Dec 23, 2019', '7', '2')]"
Ryan Gravenberch,Bayern Munich,"[('21/22', 'Ankle Injury', 'May 4, 2022', 'Jun 30, 2022', '57', '3'), ('21/22', 'Corona virus', 'Feb 4, 2022', 'Feb 12, 2022', '8', '2'), ('20/21', 'Corona virus', 'Sep 19, 2020', 'Oct 2, 2020', '13', '2')]"
Marcel Sabitzer,Bayern Munich,"[('21/22', 'Muscular problems', 'May 13, 2022', 'May 18, 2022', '5', '1'), ('21/22', 'Calf Injury', 'Nov 20, 2021', 'Dec 15, 2021', '25', '6'), ('20/21', 'Calf Problems', 'Apr 17, 2021', 'Apr 22, 2021', '5', '1'), ('20/21', 'Torn Muscle Fibre', 'Sep 24, 2020', 'Oct 18, 2020', '24', '3'), ('19/20', 'Knee Injury', 'Jun 22, 2020', 'Jun 30, 2020', '8', '1'), ('18/19', 'Muscle Injury', 'Nov 12, 2018', 'Dec 1, 2018', '19', '2'), ('18/19', 'Shoulder Injury', 'Apr 12, 2018', 'Jul 16, 2018', '95', '6'), ('17/18', 'Torn Ankle Ligament', 'Mar 19, 2018', 'Mar 29, 2018', '10', 0), ('17/18', 'Back trouble', 'Mar 12, 2018', 'Mar 15, 2018', '3', '1'), ('17/18', 'Cold', 'Feb 8, 2018', 'Feb 12, 2018', '4', '1'), ('17/18', 'Shoulder Injury', 'Nov 23, 2017', 'Jan 1, 2018', '39', '6'), ('17/18', 'Dental Surgery', 'Oct 2, 2017', 'Oct 12, 2017', '10', 0), ('17/18', 'Minor Knock', 'Sep 14, 2017', 'Sep 18, 2017', '4', '1'), ('17/18', 'Bruise', 'Sep 4, 2017', 'Sep 7, 2017', '3', 0), ('17/18', 'Bruise', 'Jul 24, 2017', 'Jul 27, 2017', '3', 0)]"
Jamal Musiala,Bayern Munich,"[('22/23', 'Corona virus', 'Oct 10, 2022', 'Oct 13, 2022', '3', '1'), ('22/23', 'laceration', 'Sep 19, 2022', 'Sep 22, 2022', '3', 0), ('22/23', 'Strain', 'Aug 18, 2022', 'Aug 22, 2022', '4', '1'), ('21/22', 'Infection', 'May 5, 2022', 'May 9, 2022', '4', '1'), ('21/22', 'Corona virus', 'Feb 10, 2022', 'Feb 17, 2022', '7', '2'), ('21/22', 'Quarantine', 'Nov 22, 2021', 'Nov 25, 2021', '3', '1'), ('21/22', 'Quarantine', 'Nov 8, 2021', 'Nov 15, 2021', '7', 0), ('20/21', 'Fitness', 'May 31, 2021', 'Jun 17, 2021', '17', 0), ('20/21', 'Muscular problems', 'May 24, 2021', 'May 31, 2021', '7', 0)]"
Paul Wanner,Bayern Munich,"[('22/23', 'Corona virus', 'Sep 29, 2022', 'Oct 9, 2022', '10', '3')]"
Leroy Sané,Bayern Munich,"[('22/23', 'Knee Problems', 'Nov 21, 2022', 'Nov 22, 2022', '1', 0), ('22/23', 'Torn Muscle Fibre', 'Oct 17, 2022', 'Nov 3, 2022', '17', '5'), ('21/22', 'Corona virus', 'Jan 3, 2022', 'Jan 13, 2022', '10', '1'), ('20/21', 'Tear in a joint capsule', 'Sep 28, 2020', 'Oct 22, 2020', '24', '5'), ('19/20', 'Cruciate Ligament Rupture', 'Aug 5, 2019', 'Mar 9, 2020', '217', '44'), ('17/18', 'Torn Ligament', 'Jan 29, 2018', 'Feb 12, 2018', '14', '3'), ('17/18', 'Cold', 'Nov 27, 2017', 'Dec 4, 2017', '7', '2'), ('16/17', 'Nose surgery', 'May 22, 2017', 'Jul 3, 2017', '42', 0), ('16/17', 'Muscle Injury', 'Dec 15, 2016', 'Jan 16, 2017', '32', '6'), ('16/17', 'Hamstring Injury', 'Aug 4, 2016', 'Sep 5, 2016', '32', '5'), ('15/16', 'Hand Injury', 'Sep 7, 2015', 'Sep 10, 2015', '3', 0), ('14/15', 'Minor Knock', 'Apr 20, 2015', 'Apr 23, 2015', '3', 0), ('14/15', 'Muscle Injury', 'Jul 14, 2014', 'Aug 28, 2014', '45', '4')]"
Sadio Mané,Bayern Munich,"[('22/23', 'Inflamed head of fibula', 'Nov 9, 2022', '-', '17', '1'), ('20/21', 'Knock', 'Jan 30, 2021', 'Feb 6, 2021', '7', '2'), ('20/21', 'Corona virus', 'Oct 2, 2020', 'Oct 16, 2020', '14', '1'), ('19/20', 'Hamstring Injury', 'Jan 26, 2020', 'Feb 11, 2020', '16', '4'), ('19/20', 'Muscle Injury', 'Jan 24, 2020', 'Feb 14, 2020', '21', '4'), ('19/20', 'Thigh Muscle Strain', 'Sep 23, 2019', 'Sep 27, 2019', '4', '1'), ('18/19', 'Hand Injury', 'Apr 11, 2019', 'Apr 13, 2019', '2', 0), ('18/19', 'Foot Injury', 'Dec 3, 2018', 'Dec 7, 2018', '4', '1'), ('18/19', 'Fractured Finger', 'Oct 15, 2018', 'Oct 24, 2018', '9', '2'), ('17/18', 'Hamstring Injury', 'Oct 9, 2017', 'Nov 2, 2017', '24', '5'), ('16/17', 'Knee Injury', 'Apr 3, 2017', 'Jun 29, 2017', '87', '8'), ('16/17', 'Shoulder Injury', 'Aug 15, 2016', 'Aug 22, 2016', '7', '1'), ('14/15', 'Calf Problems', 'Jan 1, 2015', 'Jan 19, 2015', '18', '5'), ('12/13', 'Ill', 'Feb 21, 2013', 'Feb 28, 2013', '7', '1')]"
